scale,fric,scene,,,,,,,
10,756.2583554,1.1,,,,,,,
15,1154.82019,1.1,,,,,,,
20,1452.597948,1.1,,,,,,,
30,1999.028375,1.1,,,,,,,
40,2604.637099,1.1,,,,,,,
50,4042.851204,1.1,,,,,,,
75,15906.05386,1.1,,,,,,,
100,19504.31493,1.1,,,,,,,
150,35412.42457,1.1,,,,,,,
10,1220.850082,1.2,,,,,,,
15,3095.895689,1.2,,,,,,,
20,7401.189424,1.2,,,,,,,
30,12664.66877,1.2,,,,,,,
40,17308.92385,1.2,,,,,,,
50,20992.32307,1.2,,,,,,,
75,148235.6122,1.2,,,,,,,
100,173202.9345,1.2,,,,,,,
150,250804.9458,1.2,,,,,,,
10,5269.56501,2.1,,,,,,,
15,8472.350607,2.1,,,,,,,
20,13637.12633,2.1,,,,,,,
30,20294.11028,2.1,,,,,,,
40,30397.27098,2.1,,,,,,,
50,34987.15266,2.1,,,,,,,
75,192541.8361,2.1,,,,,,,
100,242183.855,2.1,,,,,,,
150,321235.2469,2.1,,,,,,,
10,48.46063061,3.1,,,,,,,
15,99.43355658,3.1,,,,,,,
20,184.4129547,3.1,,,,,,,
30,654.4117998,3.1,,,,,,,
40,1407.387597,3.1,,,,,,,
50,1791.256112,3.1,,,,,,,
75,5023.591576,3.1,,,,,,,
100,6503.209078,3.1,,,,,,,
150,14955.88942,3.1,,,,,,,
10,431.3173435,3.2,,,,,,,
15,593.7433229,3.2,,,,,,,
20,700.7758352,3.2,,,,,,,
30,2844.450176,3.2,,,,,,,
40,3252.086543,3.2,,,,,,,
50,5193.91651,3.2,,,,,,,
75,9642.657385,3.2,,,,,,,
100,12642.44471,3.2,,,,,,,
150,20148.45683,3.2,,,,,,,
10,2669.858689,4.1,,,,,,,
15,4948.51111,4.1,,,,,,,
20,15059.04649,4.1,,,,,,,
30,24023.59862,4.1,,,,,,,
40,38839.59564,4.1,,,,,,,
50,48551.75858,4.1,,,,,,,
75,85012.73144,4.1,,,,,,,
100,102309.8056,4.1,,,,,,,
150,271694.9482,4.1,,,,,,,
10,1704.155789,4.2,,,,,,,
15,4606.670021,4.2,,,,,,,
20,37403.0166,4.2,,,,,,,
30,80517.35758,4.2,,,,,,,
40,109297.1208,4.2,,,,,,,
50,131230.5584,4.2,,,,,,,
75,181314.292,4.2,,,,,,,
100,249556.2456,4.2,,,,,,,
150,385009.3233,4.2,,,,,,,
10,102.2176795,5.1,,,,,,,
15,295.5461702,5.1,,,,,,,
20,1071.403608,5.1,,,,,,,
30,2366.274189,5.1,,,,,,,
40,3158.626388,5.1,,,,,,,
50,4946.519055,5.1,,,,,,,
75,7216.726036,5.1,,,,,,,
100,13801.336,5.1,,,,,,,
150,25724.70795,5.1,,,,,,,
10,1756.44849,5.2,,,,,,,
15,2052.695952,5.2,,,,,,,
20,2461.51237,5.2,,,,,,,
30,5280.243983,5.2,,,,,,,
40,5808.343094,5.2,,,,,,,
50,8560.466019,5.2,,,,,,,
75,10678.37427,5.2,,,,,,,
100,19909.89053,5.2,,,,,,,
150,28060.24997,5.2,,,,,,,